batchId,skills,skillCount,questionCount,lectureCount,status
B062,"['u18-s007', 'u18-s008', 'u18-s009', 'u18-s010']",4,56,4,PENDING_MANUAL
B063,"['u18-s011', 'u18-s012', 'u18-s013', 'u18-s014']",4,56,4,PENDING_MANUAL
B064,"['u18-s015', 'u18-s016', 'u19-s001', 'u19-s002']",4,56,4,PENDING_MANUAL
B065,"['u19-s003', 'u19-s004', 'u19-s005', 'u19-s006']",4,56,4,PENDING_MANUAL
B066,"['u19-s007', 'u19-s008', 'u19-s009', 'u19-s010']",4,56,4,PENDING_MANUAL
B067,"['u19-s011', 'u19-s012', 'u19-s013', 'u19-s014']",4,56,4,PENDING_MANUAL
B068,"['u19-s015', 'u19-s016', 'u19-s017', 'u19-s018']",4,56,4,PENDING_MANUAL
B069,"['u20-s001', 'u20-s002', 'u20-s003', 'u20-s004']",4,56,4,PENDING_MANUAL
B070,"['u20-s005', 'u20-s006', 'u20-s007', 'u20-s008']",4,56,4,PENDING_MANUAL
B071,"['u20-s009', 'u20-s010', 'u20-s011', 'u20-s012']",4,56,4,PENDING_MANUAL
B072,"['u20-s013', 'u20-s014', 'u20-s015', 'u21-s001']",4,56,4,PENDING_MANUAL
B073,"['u21-s002', 'u21-s003', 'u21-s004', 'u21-s005']",4,56,4,PENDING_MANUAL
B074,"['u21-s006', 'u21-s007', 'u21-s008', 'u21-s009']",4,56,4,PENDING_MANUAL
B075,"['u21-s010', 'u21-s011', 'u21-s012', 'u22-s001']",4,56,4,PENDING_MANUAL
B076,"['u22-s002', 'u22-s003', 'u22-s004', 'u22-s005']",4,56,4,PENDING_MANUAL
B077,"['u22-s006', 'u22-s007', 'u22-s008', 'u22-s009']",4,56,4,PENDING_MANUAL
B078,"['u22-s010', 'u22-s011', 'u22-s012', 'u22-s013']",4,56,4,PENDING_MANUAL
B079,"['u22-s014', 'u22-s015', 'u22-s016', 'u22-s017']",4,56,4,PENDING_MANUAL
B080,"['u22-s018', 'u23-s001', 'u23-s002', 'u23-s003']",4,56,4,PENDING_MANUAL
B081,"['u23-s004', 'u23-s005', 'u23-s006', 'u23-s007']",4,56,4,PENDING_MANUAL
B082,"['u23-s008', 'u23-s009', 'u23-s010', 'u23-s011']",4,56,4,PENDING_MANUAL
B083,"['u23-s012', 'u23-s013', 'u23-s014', 'u23-s015']",4,56,4,PENDING_MANUAL
B084,"['u23-s016', 'u23-s017', 'u23-s018', 'u23-s019']",4,56,4,PENDING_MANUAL
B085,['u23-s020'],1,14,1,PENDING_MANUAL
