questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,rendererVerdict,reason,recommendedAction,exactTextRepair,originalArtifactSha256,reviewedStringFieldCount,reviewedUnicodeCharacterCount,manualReviewer,manualReviewStatus
u01-s003-cr001,u01,s003,integer-number-line-position,constructed-response,standard,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,題目需要整數加減或連續移動計算，而整數運算尚未在課程順序中出現。,移到整數加減後，或改為不用計算即可直接讀圖的位置題。,,f6f050c52acb6550d23a7bc09e52cd91819ea3534bab2d13d20e2a9dddb34c74,29,521,GPT-5.6 Thinking,COMPLETE
u01-s003-cr002,u01,s003,integer-number-line-position,constructed-response,advanced,MOVE_OR_REPLACE,PREREQUISITE_ORDER|MIDPOINT_OUT_OF_SEQUENCE|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,同時檢驗中點、負數平均與位移，超出本技能目前順序。,移到後續坐標內容並用基礎數線標點非選題替換。,,de019f3f6e8168ccf8b9607483223d6285310403ae03611c4f2d0c2e0927293d,29,501,GPT-5.6 Thinking,COMPLETE
u01-s004-v001,u01,s004,integer-number-comparison,mc,basic,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,6061a5663b274b9a46101b99731c5369fc2bda9fa4bfeb797371f7fdcf83b1dd,36,405,GPT-5.6 Thinking,COMPLETE
u01-s004-v002,u01,s004,integer-number-comparison,mc,basic,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,70cfb73cc19d68461617e8590d1730ca5cbec41c596f83935131ae061ff02951,36,421,GPT-5.6 Thinking,COMPLETE
u01-s004-v003,u01,s004,integer-number-comparison,mc,basic,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,4089ddd9061477766efb5462ee3086b23a3c7ee6c2620cf75e90d9993590f612,36,461,GPT-5.6 Thinking,COMPLETE
u01-s004-v004,u01,s004,integer-number-comparison,mc,standard,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,b79df568ab7412e25e1e06862aa54e00dd1487e10e07ea5fe8a57c2e45f09721,36,476,GPT-5.6 Thinking,COMPLETE
u01-s004-v005,u01,s004,integer-number-comparison,mc,standard,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,a8feea6137396cf6a1056aa63cd97d557cf1b8349882ee5e99a660d55e7d3267,37,423,GPT-5.6 Thinking,COMPLETE
u01-s004-v006,u01,s004,integer-number-comparison,mc,standard,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,88a98ea5c2a36d6a98247117da1bea6032c685d58540783afc950c641ffa6a3c,36,432,GPT-5.6 Thinking,COMPLETE
u01-s004-v007,u01,s004,integer-number-comparison,mc,advanced,SEQUENCE_REPAIR,ABSOLUTE_VALUE_NOT_YET_TAUGHT,True,True,SAFE,正確答案 b>a 沒問題，但干擾選項 |a|<b 使用下一技能才教的絕對值符號。,將干擾選項改成不需要絕對值的錯誤敘述，或移到絕對值教完後。,,6666452e849525fb39a6ed116e67d65d0133cba14fbc2f6568b9736ded9e47c5,36,460,GPT-5.6 Thinking,COMPLETE
u01-s004-v008,u01,s004,integer-number-comparison,mc,advanced,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,13db13bad2b9c7a1fccb1bba98bed2eeeec364a0dc596a2189eae34d6c6a26b4,36,479,GPT-5.6 Thinking,COMPLETE
u01-s004-v009,u01,s004,integer-number-comparison,mc,advanced,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,b5483ba4678f8b92955516bb4fda5d9f44d3956d2e71d3888ac78926622f812d,36,483,GPT-5.6 Thinking,COMPLETE
u01-s004-v010,u01,s004,integer-number-comparison,mc,literacy,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,1ee3142c1dab02038ae8502590c76d97b876e5d27f00769f409ad111974441f8,37,456,GPT-5.6 Thinking,COMPLETE
u01-s004-v011,u01,s004,integer-number-comparison,mc,literacy,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,326ca8c58fa28b7daa679f9d1bd6e765f5f3f8a6f711be5fc1f2cdd23d365453,37,552,GPT-5.6 Thinking,COMPLETE
u01-s004-v012,u01,s004,integer-number-comparison,mc,literacy,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,c3a1dc8be0cde882a3ebdcd500d7d7d6474e6d0d536903413979b67c4e7e4311,37,578,GPT-5.6 Thinking,COMPLETE
u01-s004-cr001,u01,s004,integer-number-comparison,constructed-response,standard,WORDING_REPAIR,ABSOLUTE_VALUE_NOT_YET_TAUGHT|EXPECTED_SOLUTION_SEQUENCE,True,True,SAFE,排列本身正確，但標準解把「絕對值」列為比較規則，早於絕對值技能。,標準解只使用數線語言：兩個負數中越靠左者越小、離 0 越遠者越小。,兩個負數中，在數線上越靠左者越小；也可說離 0 越遠者越小。,93f6cebdeaba106044e7a146b56f4ebaedbff4252a416ef7fa611b236236917f,26,448,GPT-5.6 Thinking,COMPLETE
u01-s004-cr002,u01,s004,integer-number-comparison,constructed-response,advanced,PASS,,True,True,SAFE,題意明確、唯一答案成立、解析與選項分析一致；圖形題的數線位置也已核對。,原樣保留。,,c0c1829ef867e9051831b43d8dafff315831d855577e87937e2f0255ff444ee1,28,508,GPT-5.6 Thinking,COMPLETE
u01-s005-v001,u01,s005,integer-opposite-number,mc,basic,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,6952162b5b7e411df380f0d606576cb037f3f26361d03ffefc921247738dc75a,36,370,GPT-5.6 Thinking,COMPLETE
u01-s005-v002,u01,s005,integer-opposite-number,mc,basic,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,f37c22054443e82f069d3a2773b33b6a79392f565dbd48e1c04ef54c58f0acac,36,375,GPT-5.6 Thinking,COMPLETE
u01-s005-v003,u01,s005,integer-opposite-number,mc,basic,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,77305597963ddf286549a4abee9af1f22a6a08e553f3e713a0789f1a6eb2f1eb,36,389,GPT-5.6 Thinking,COMPLETE
u01-s005-v004,u01,s005,integer-opposite-number,mc,standard,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,6306781d02e13aa0c6eb66b7993b6ff5b5e056e08c52345027a0a6c8212af4e7,36,387,GPT-5.6 Thinking,COMPLETE
u01-s005-v005,u01,s005,integer-opposite-number,mc,standard,SEQUENCE_REPAIR,INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,可用原點對稱判斷，但現有解析以相加為 0 驗證，早於整數加法。,把解析改為數線上分居原點兩側且距離相同。,,607b180498f98fa8b2e253945556d7a3e7ce2dae9d1b81d2af6200459c58fc11,36,439,GPT-5.6 Thinking,COMPLETE
u01-s005-v006,u01,s005,integer-opposite-number,mc,standard,SEQUENCE_REPAIR,INTEGER_ADDITION_NOT_YET_TAUGHT|EARLY_EQUATION_NOTATION,True,True,SAFE,答案正確，但解析使用 a＋(-5)=0 與解方程式，早於整數加法和代數。,改以相反數關係的對稱性說明：-5 的相反數是 5。,,3d5de66f6b117981209f5c1795bb6dc25dfe2c4cbe56a1caa1ee3593f090881c,36,409,GPT-5.6 Thinking,COMPLETE
u01-s005-v007,u01,s005,integer-opposite-number,mc,advanced,MOVE_OR_REPLACE,PREREQUISITE_ORDER|MULTIPLICATION_NOT_YET_TAUGHT|ALGEBRA_NOT_YET_TAUGHT,True,True,SAFE,2a＋b 同時需要代入、乘法與整數加法，不屬相反數初步。,移到代數式或整數運算後，並替換成本技能適齡題。,,84f3c83501d18b25b1163ad91a6aa500cd93b9a8dc533121c9b8fec3a1f37d34,36,423,GPT-5.6 Thinking,COMPLETE
u01-s005-v008,u01,s005,integer-opposite-number,mc,advanced,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,77ea0b82d5b0a26c6bb9769ec99e1d62d913cce9d77a658fe5e34bb5675752cc,36,424,GPT-5.6 Thinking,COMPLETE
u01-s005-v009,u01,s005,integer-opposite-number,mc,advanced,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,ce4c98862b309157524638b7f8e9d56efb22ce10818e93c4711e078d462b6277,36,428,GPT-5.6 Thinking,COMPLETE
u01-s005-v010,u01,s005,integer-opposite-number,mc,literacy,SEQUENCE_REPAIR,INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,沖銷情境適合相反數，但解析以合計為 0 為核心，涉及尚未教的整數加法。,可保留情境，但先用『方向相反、金額相同』說明，或移到加法後。,,c3fd5913b266fc4e333949ab7a1a80d7b41ecae30b27b6464ff5e3476cce4e82,37,510,GPT-5.6 Thinking,COMPLETE
u01-s005-v011,u01,s005,integer-opposite-number,mc,literacy,PASS,,True,True,SAFE,題目直接檢驗相反數、原點對稱或連續取相反數，答案與解析一致。,原樣保留。,,5cc76ea768487a7552e66c812170520345716ba1188452b10a7e6cceb4ebcfe0,37,460,GPT-5.6 Thinking,COMPLETE
u01-s005-v012,u01,s005,integer-opposite-number,mc,literacy,SEQUENCE_REPAIR,INTEGER_ADDITION_NOT_YET_TAUGHT|BASELINE_OPERATION_NOT_YET_TAUGHT,True,True,SAFE,先取相反數後還要用 100＋(-8) 還原實際值。,移到整數加法後的綜合應用。,,a90930a4897c82367043b11e8c6693a2bee5b50e188a2984bd2037b3e56def74,37,477,GPT-5.6 Thinking,COMPLETE
u01-s005-cr001,u01,s005,integer-opposite-number,constructed-response,standard,SEQUENCE_REPAIR,INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,要求逐一以相加為 0 檢查，早於整數加法。,改用數線對稱檢查，或移到整數加法後。,,4abcf716fdaed3e049ed70257b82048a55f4c2dadf9275ef8f76a5a7bf005cb7,29,491,GPT-5.6 Thinking,COMPLETE
u01-s005-cr002,u01,s005,integer-opposite-number,constructed-response,advanced,MOVE_OR_REPLACE,POINT_REFLECTION_OUT_OF_SEQUENCE|MIDPOINT_EQUATION_OUT_OF_SEQUENCE|ALGEBRA_NOT_YET_TAUGHT,True,True,SAFE,第二次關於坐標 2 對稱需要中點方程與代數，不屬本技能初步。,移到坐標幾何；本技能改用原點對稱的非選題。,,11512566048c2cdd3ab511d6fbb476555077cd228180beb37b31fbc8445a60c1,28,508,GPT-5.6 Thinking,COMPLETE
