questionId,unitId,skillId,questionType,field,original,rendererOutput,nestedOpen,extraPipes,unbalanced,proseSwallowed,directQuestionDisplay,recommendedVerdict
u02-s008-v008,u02,fraction-compare,mc,explanation,依題意逐步處理：-3/4=-9/12，-2/3=-8/12；A較小，在左邊；距離|-9/12+8/12|=1/12。所以答案是「A 在 B 左邊且距離 1/12」。,依題意逐步處理：-[[frac:3|4]]=-[[frac:9|12]]，-[[frac:2|3]]=-[[frac:8|12]]；A較小，在左邊；距離|-[[frac:9|12]]+[[frac:8|12|]]=[[frac:1|12]]。所以答案是「A 在 B 左邊且距離 [[frac:1|12」]]。,False,True,False,False,False,RENDERER_REPAIR
u02-s008-v008,u02,fraction-compare,mc,steps[1],A較小，在左邊；距離|-9/12+8/12|=1/12,A較小，在左邊；距離|-[[frac:9|12]]+[[frac:8|12|]]=[[frac:1|12]],False,True,False,False,False,RENDERER_REPAIR
u02-s008-v009,u02,fraction-compare,mc,optionAnalysis[1].reason,把5/7與7/10顛倒。,[[frac:把5|7與7]]/10顛倒。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v010,u02,fraction-compare,mc,optionAnalysis[2].reason,乙的5/8=0.625，在三條步道中最低，不是第二高。,[[frac:乙的5|8]]=0.625，在三條步道中最低，不是第二高。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v011,u02,fraction-compare,mc,explanation,依題意逐步處理：3/4=.75，7/9約.778，4/5=.8，5/6約.833；最高為小萱。所以答案是「小萱」。,[[frac:依題意逐步處理：3|4]]=.75，[[frac:7|9約.778]]，[[frac:4|5]]=.8，[[frac:5|6約.833]]；最高為小萱。所以答案是「小萱」。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v011,u02,fraction-compare,mc,steps[0],3/4=.75，7/9約.778，4/5=.8，5/6約.833,[[frac:3|4]]=.75，[[frac:7|9約.778]]，[[frac:4|5]]=.8，[[frac:5|6約.833]],False,False,False,True,False,RENDERER_REPAIR
u02-s008-v011,u02,fraction-compare,mc,optionAnalysis[2].reason,5/6約0.833最高。,[[frac:5|6約0.833最高]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v011,u02,fraction-compare,mc,optionAnalysis[3].reason,4/5=0.8低於5/6。,[[frac:4|5]]=[[frac:0.8低於5|6]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,choices[3],A，因為3/8＞4/11,A，[[frac:因為3|8＞4]]/11,False,False,False,True,True,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,explanation,依題意逐步處理：A原液比例3/(3+5)=3/8；B為4/(4+7)=4/11；3×11=33>32=4×8，所以A較高。所以答案是「A，因為3/8＞4/11」。,[[frac:依題意逐步處理：A原液比例3|(3]]+5)=[[frac:3|8]]；[[frac:B為4|(4]]+7)=[[frac:4|11]]；3×11=33>32=4×8，所以A較高。所以答案是「A，[[frac:因為3|8＞4]]/11」。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,steps[0],A原液比例3/(3+5)=3/8,[[frac:A原液比例3|(3]]+5)=[[frac:3|8]],False,False,False,True,False,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,steps[1],B為4/(4+7)=4/11；3×11=33>32=4×8，所以A較高,[[frac:B為4|(4]]+7)=[[frac:4|11]]；3×11=33>32=4×8，所以A較高,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,optionAnalysis[3].choice,A，因為3/8＞4/11,A，[[frac:因為3|8＞4]]/11,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v012,u02,fraction-compare,mc,optionAnalysis[3].reason,3/8略大於4/11。,[[frac:3|8略大於4]]/11。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,prompt,計算 2又3/4-［1又1/6-(5/8-1/3)］，寫出每一步。,計算 [[frac:2又3|4]]-[[frac:［1又1|6]]-[[frac:(5|8]]-[[frac:1|3)］]]，寫出每一步。,False,False,False,True,True,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,fullCreditSolution[1],1又1/6=28/24，所以中括號=28/24-7/24=21/24=7/8。,[[frac:1又1|6]]=[[frac:28|24]]，所以中括號=[[frac:28|24]]-[[frac:7|24]]=[[frac:21|24]]=[[frac:7|8]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,fullCreditSolution[2],2又3/4=11/4=22/8，22/8-7/8=15/8=1又7/8。,[[frac:2又3|4]]=[[frac:11|4]]=[[frac:22|8]]，[[frac:22|8]]-[[frac:7|8]]=[[frac:15|8]]=[[frac:1又7|8]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,rubric[0].criteria,每層括號與答案1又7/8正確。,[[frac:每層括號與答案1又7|8正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,scoringNotes[0],最終可寫15/8。,[[frac:最終可寫15|8]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr001,u02,fraction-add-subtract,cr,independentReview.derivedResult,1又7/8。,[[frac:1又7|8]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,requiredWork[2],與3/5比較。,[[frac:與3|5比較]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,fullCreditSolution[2],7/12與3/5比較：35<36，所以未超過3/5。,[[frac:7|12與3]]/5比較：35<36，[[frac:所以未超過3|5]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,alternativeSolutions[0],可先算7/10-1/4=9/20，再加2/15。,[[frac:可先算7|10]]-[[frac:1|4]]=[[frac:9|20]]，[[frac:再加2|15]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,rubric[0].criteria,7/12及未超過3/5均正確。,[[frac:7|12及未超過3]]/5均正確。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,commonErrors[0],把補入2/15作用於剩餘量。,[[frac:把補入2|15作用於剩餘量]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,commonErrors[1],只答7/12未回應判斷。,[[frac:只答7|12未回應判斷]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-cr002,u02,fraction-add-subtract,cr,independentReview.derivedResult,最後7/12，未超過3/5。,[[frac:最後7|12]]，[[frac:未超過3|5]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v001,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：1/3=2/6；2/6+1/6=3/6=1/2。所以答案是「1/2」。,[[frac:依題意逐步處理：1|3]]=[[frac:2|6]]；[[frac:2|6]]+[[frac:1|6]]=[[frac:3|6]]=[[frac:1|2]]。[[frac:所以答案是「1|2」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v001,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,通分後得1/2。,[[frac:通分後得1|2]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v001,u02,fraction-add-subtract,mc,optionAnalysis[2].reason,把1/3減1/6。,[[frac:把1|3減1]]/6。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v002,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：1/4=2/8；5/8-2/8=3/8。所以答案是「3/8」。,[[frac:依題意逐步處理：1|4]]=[[frac:2|8]]；[[frac:5|8]]-[[frac:2|8]]=[[frac:3|8]]。[[frac:所以答案是「3|8」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v002,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,只減分子得到4/8後又錯約。,[[frac:只減分子得到4|8後又錯約]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v002,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,3/8正確。,[[frac:3|8正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v002,u02,fraction-add-subtract,mc,optionAnalysis[3].reason,5/8-2/8不是4/8。,[[frac:5|8]]-[[frac:2|8不是4]]/8。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v002,u02,fraction-add-subtract,mc,commonMistake,沒有把1/4通分成2/8。,[[frac:沒有把1|4通分成2]]/8。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v003,u02,fraction-add-subtract,mc,optionAnalysis[2].reason,-1/5正確。,-[[frac:1|5正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v004,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：括號內1/2-1/8=3/8；3/4-3/8=6/8-3/8=3/8。所以答案是「3/8」。,[[frac:依題意逐步處理：括號內1|2]]-[[frac:1|8]]=[[frac:3|8]]；[[frac:3|4]]-[[frac:3|8]]=[[frac:6|8]]-[[frac:3|8]]=[[frac:3|8]]。[[frac:所以答案是「3|8」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v004,u02,fraction-add-subtract,mc,steps[0],括號內1/2-1/8=3/8,[[frac:括號內1|2]]-[[frac:1|8]]=[[frac:3|8]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v004,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,把3/4與括號首項直接相減。,[[frac:把3|4與括號首項直接相減]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v004,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,錯把括號內算成1/2。,[[frac:錯把括號內算成1|2]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v004,u02,fraction-add-subtract,mc,optionAnalysis[3].reason,3/8正確。,[[frac:3|8正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v005,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：通分為-9/12+10/12；結果1/12。所以答案是「1/12」。,依題意逐步處理：通分為-[[frac:9|12]]+[[frac:10|12]]；[[frac:結果1|12]]。[[frac:所以答案是「1|12」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v005,u02,fraction-add-subtract,mc,steps[1],結果1/12,[[frac:結果1|12]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v005,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,-9+10=1，得1/12。,-9+10=1，[[frac:得1|12]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,text,2又1/3+1又5/6 等於多少？,[[frac:2又1|3]]+[[frac:1又5|6]] 等於多少？,False,False,False,True,True,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,choices[0],3又1/6,[[frac:3又1|6]],False,False,False,True,True,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,choices[1],4又1/6,[[frac:4又1|6]],False,False,False,True,True,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,choices[2],4又5/6,[[frac:4又5|6]],False,False,False,True,True,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,choices[3],3又5/6,[[frac:3又5|6]],False,False,False,True,True,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：2又1/3=2又2/6；整數部分3，分數2/6+5/6=7/6=1又1/6，合計4又1/6。所以答案是「4又1/6」。,[[frac:依題意逐步處理：2又1|3]]=[[frac:2又2|6]]；整數部分3，[[frac:分數2|6]]+[[frac:5|6]]=[[frac:7|6]]=[[frac:1又1|6]]，[[frac:合計4又1|6]]。[[frac:所以答案是「4又1|6」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,steps[0],2又1/3=2又2/6,[[frac:2又1|3]]=[[frac:2又2|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,steps[1],整數部分3，分數2/6+5/6=7/6=1又1/6，合計4又1/6,整數部分3，[[frac:分數2|6]]+[[frac:5|6]]=[[frac:7|6]]=[[frac:1又1|6]]，[[frac:合計4又1|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,optionAnalysis[0].choice,3又1/6,[[frac:3又1|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,optionAnalysis[1].choice,4又1/6,[[frac:4又1|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,4又1/6正確。,[[frac:4又1|6正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,optionAnalysis[2].choice,4又5/6,[[frac:4又5|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v006,u02,fraction-add-subtract,mc,optionAnalysis[3].choice,3又5/6,[[frac:3又5|6]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v007,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：減負數變加：5/12+7/18；通分36得15/36+14/36=29/36。所以答案是「29/36」。,[[frac:依題意逐步處理：減負數變加：5|12]]+[[frac:7|18]]；[[frac:通分36得15|36]]+[[frac:14|36]]=[[frac:29|36]]。[[frac:所以答案是「29|36」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v007,u02,fraction-add-subtract,mc,steps[0],減負數變加：5/12+7/18,[[frac:減負數變加：5|12]]+[[frac:7|18]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v007,u02,fraction-add-subtract,mc,steps[1],通分36得15/36+14/36=29/36,[[frac:通分36得15|36]]+[[frac:14|36]]=[[frac:29|36]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v007,u02,fraction-add-subtract,mc,optionAnalysis[2].reason,29/36正確。,[[frac:29|36正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v008,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：1/4+1/6=5/12；2/3-5/12=8/12-5/12=1/4；1-1/4=3/4。所以答案是「3/4」。,[[frac:依題意逐步處理：1|4]]+[[frac:1|6]]=[[frac:5|12]]；[[frac:2|3]]-[[frac:5|12]]=[[frac:8|12]]-[[frac:5|12]]=[[frac:1|4]]；1-[[frac:1|4]]=[[frac:3|4]]。[[frac:所以答案是「3|4」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v008,u02,fraction-add-subtract,mc,optionAnalysis[3].reason,3/4正確。,[[frac:3|4正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v009,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：a-b=7/10-(-6/10)；=13/10。所以答案是「13/10」。,依題意逐步處理：a-b=[[frac:7|10]]-(-[[frac:6|10)]]；=[[frac:13|10]]。[[frac:所以答案是「13|10」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v009,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,減負得加，13/10正確。,減負得加，[[frac:13|10正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v009,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,把-3/5直接加成-6/10。,把-[[frac:3|5直接加成]]-[[frac:6|10]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v009,u02,fraction-add-subtract,mc,optionAnalysis[2].reason,a-b是減去負數，結果應為正；-13/10的符號錯誤。,a-b是減去負數，結果應為正；-[[frac:13|10的符號錯誤]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v010,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：3/5-1/4+1/10=12/20-5/20+2/20；=9/20。所以答案是「9/20」。,[[frac:依題意逐步處理：3|5]]-[[frac:1|4]]+[[frac:1|10]]=[[frac:12|20]]-[[frac:5|20]]+[[frac:2|20]]；=[[frac:9|20]]。[[frac:所以答案是「9|20」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v010,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,9/20正確。,[[frac:9|20正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：已完成2/7+3/14=4/14+3/14=7/14；未完成1-7/14=7/14。所以答案是「7/14」。,[[frac:依題意逐步處理：已完成2|7]]+[[frac:3|14]]=[[frac:4|14]]+[[frac:3|14]]=[[frac:7|14]]；未完成1-[[frac:7|14]]=[[frac:7|14]]。[[frac:所以答案是「7|14」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,steps[0],已完成2/7+3/14=4/14+3/14=7/14,[[frac:已完成2|7]]+[[frac:3|14]]=[[frac:4|14]]+[[frac:3|14]]=[[frac:7|14]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,5/14是錯誤差值。,[[frac:5|14是錯誤差值]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,6/14少算一天。,[[frac:6|14少算一天]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,optionAnalysis[2].reason,7/14正確。,[[frac:7|14正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v011,u02,fraction-add-subtract,mc,optionAnalysis[3].reason,9/14大於剩餘。,[[frac:9|14大於剩餘]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,text,食譜需要 2又1/4 杯麵粉，現有 1又2/3 杯，還缺多少杯？,食譜需要 [[frac:2又1|4]] 杯麵粉，現有 [[frac:1又2|3]] 杯，還缺多少杯？,False,False,False,True,True,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,explanation,依題意逐步處理：2又1/4-1又2/3=9/4-5/3；=27/12-20/12=7/12。所以答案是「7/12 杯」。,[[frac:依題意逐步處理：2又1|4]]-[[frac:1又2|3]]=[[frac:9|4]]-[[frac:5|3]]；=[[frac:27|12]]-[[frac:20|12]]=[[frac:7|12]]。[[frac:所以答案是「7|12]] 杯」。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,steps[0],2又1/4-1又2/3=9/4-5/3,[[frac:2又1|4]]-[[frac:1又2|3]]=[[frac:9|4]]-[[frac:5|3]],False,False,False,True,False,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,optionAnalysis[0].reason,差少2/12。,[[frac:差少2|12]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,optionAnalysis[1].reason,3/4杯比正確差額多。,[[frac:3|4杯比正確差額多]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s009-v012,u02,fraction-add-subtract,mc,optionAnalysis[3].reason,7/12杯正確。,[[frac:7|12杯正確]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s010-cr001,u02,fraction-multiply-divide,cr,prompt,一桶蜂蜜有 15又3/4 公斤，每罐裝 7/8 公斤。可裝滿幾罐？寫出計算與驗算。,一桶蜂蜜有 [[frac:15又3|4]] 公斤，每罐裝 [[frac:7|8]] 公斤。可裝滿幾罐？寫出計算與驗算。,False,False,False,True,True,RENDERER_REPAIR
u02-s010-cr001,u02,fraction-multiply-divide,cr,fullCreditSolution[0],15又3/4=63/4。,[[frac:15又3|4]]=[[frac:63|4]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s010-cr001,u02,fraction-multiply-divide,cr,alternativeSolutions[0],可先把每罐7/8公斤換成小數0.875，但需精確驗算。,[[frac:可先把每罐7|8公斤換成小數0.875]]，但需精確驗算。,False,False,False,True,False,RENDERER_REPAIR
u02-s010-cr001,u02,fraction-multiply-divide,cr,commonErrors[0],把15又3/4乘7/8。,[[frac:把15又3|4乘7]]/8。,False,False,False,True,False,RENDERER_REPAIR
