reviewSequence,questionId,unitId,skillSlot,skillId,skillTitle,questionType,difficulty,primaryText,choicesJson,answerIndex,figureId,initialVerdict,reviewNote,autoFlags,directRendererDefectCount,allRendererDefectCount,contentSha256,contentAuthority
22,u01-s002-v008,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,advanced,甲以 40 為基準，紀錄為 -5；乙以 35 為基準，紀錄為 +2。下列何者正確？,"[""甲實際值比乙大 3"", ""甲、乙實際值相等"", ""乙實際值比甲大 7"", ""乙實際值比甲大 2""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,8323a409e7836e56128ff7bfded9e1da78f2dfaa600933011dffe24da0f640e8,CHATGPT_HUMAN_AUTHORED_R1
23,u01-s002-v009,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,advanced,某設備連續三次校正的帶號變化依序為 -4、+7、-6。三次校正造成的總變化為何？,"[""-3"", ""-17"", ""+3"", ""+9""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,3fc2754b2853deb6fbb712847f09f4bd45c60666642b6e15da8602decf0c8088,CHATGPT_HUMAN_AUTHORED_R1
24,u01-s002-v010,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,literacy,冷鏈中心以 -18°C 為標準溫度。感測器甲顯示偏差 +3°C，感測器乙顯示偏差 -2°C。下列敘述何者正確？,"[""甲為 -21°C，乙為 -16°C"", ""甲為 -15°C，乙為 -20°C，甲比乙高 5°C"", ""甲為 3°C，乙為 -2°C"", ""甲、乙都低於標準且相差 1°C""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,ab0f70778fc19c96cd67a5ac9db5f6a04ac3d8149ed6282c86ff0dad65d5666e,CHATGPT_HUMAN_AUTHORED_R1
25,u01-s002-v011,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,literacy,河川警戒水位為 250 公分。上午紀錄為相對警戒值 -18 公分，傍晚紀錄為 +7 公分。從上午到傍晚，水位變化為何？,"[""下降 11 公分"", ""上升 18 公分"", ""上升 25 公分"", ""上升 257 公分""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,f141f2b530d3aaeaed46d2204e9dadbb0f1e678c0a626b0b99d69e7d47bba3ec,CHATGPT_HUMAN_AUTHORED_R1
26,u01-s002-v012,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,literacy,"兩部門都以預算 50,000 元為基準。甲部門實際支出偏差 +3,200 元，乙部門偏差 -1,800 元。兩部門實際支出相差多少？","[""1,400 元"", ""1,800 元"", ""3,200 元"", ""5,000 元""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,75cc3bd1ea29510ab5f3582147b1c1f96b4a95755cda5fdc414f321de5fedec6,CHATGPT_HUMAN_AUTHORED_R1
27,u01-s002-cr001,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,cr,standard,某工廠用 500 克作為包裝標準。A、B、C 三包實際重量分別為 492 克、505 克、500 克。請寫出三包相對標準的帶號偏差，並解釋正負號。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,8fe26142e498f3ca2e05c8dc5de60055cd31f5d23c39404150f2d9b9adcf5ef0,CHATGPT_HUMAN_AUTHORED_R1
28,u01-s002-cr002,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,cr,advanced,甲測站以 100 公尺為基準，紀錄某點為 -12 公尺；乙測站以 80 公尺為基準，紀錄另一點為 +5 公尺。請求兩點實際高度，判斷哪一點較高，並求高多少。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,9c2ce08d3dcb33a1efc008461d7c4935b786e1c41de2e603c15d93950718b75e,CHATGPT_HUMAN_AUTHORED_R1
29,u01-s003-v001,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,basic,數線上，點 A 位在原點左側 4 個單位。A 的坐標是多少？,"[""-4"", ""4"", ""0"", ""-5""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,be38d6c82647269e8567126250dbec703f7db488c143f430af74300ed8687475,CHATGPT_HUMAN_AUTHORED_R1
30,u01-s003-v002,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,basic,在通常向右為正的數線上，坐標 +6 的點位於何處？,"[""原點左側 6 單位"", ""原點右側 6 單位"", ""原點左側 5 單位"", ""原點""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,07e7b4c71fd2a4eaaf3d32b3259e0ce3609faec6918c4dde3801b8df2e739ca9,CHATGPT_HUMAN_AUTHORED_R1
31,u01-s003-v003,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,basic,依圖判斷點 P 的坐標。,"[""-2"", ""-4"", ""-3"", ""3""]",2,fig-u01-s003-v003,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,9c42da0e4d6a64dc726f6c374e69ee6e2f872a49d8304471585ea54c2c02e3d5,CHATGPT_HUMAN_AUTHORED_R1
32,u01-s003-v004,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,standard,點 B 的起始坐標是 -2，向右移動 5 個單位後，終點坐標是多少？,"[""-7"", ""-3"", ""2"", ""3""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,d6d0c882dbb73f00181dff18bd965de18566676a5bae757de62929e5d9296453,CHATGPT_HUMAN_AUTHORED_R1
33,u01-s003-v005,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,standard,數線上坐標 -6 與 2 的中點坐標是多少？,"[""-2"", ""-4"", ""2"", ""4""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,731ae9fa08cfaa9280712ef6625dd1450ba224e909a637b0a931fef1428a29da,CHATGPT_HUMAN_AUTHORED_R1
34,u01-s003-v006,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,standard,依圖判斷點 Q 的坐標。,"[""5"", ""4"", ""6"", ""2""]",1,fig-u01-s003-v006,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,1ccb1f7c872f7316c0deacf0ffaa8e1084ba687fe26f2dab43214705987c5638,CHATGPT_HUMAN_AUTHORED_R1
35,u01-s003-v007,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,advanced,點 P 的坐標是 -4。點 Q 與 P 關於坐標 1 的點對稱，Q 的坐標是多少？,"[""-6"", ""4"", ""6"", ""5""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,3aafafbf7870d881d95d62f4b87327f413d8d663c1ccf74db3941cad11efc82a,CHATGPT_HUMAN_AUTHORED_R1
36,u01-s003-v008,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,advanced,A、B 的坐標分別為 -7、3。點 C 位在 AB 中點的右側 2 個單位，C 的坐標是多少？,"[""-4"", ""-2"", ""2"", ""0""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,0b004c9d4edae22935e5f6dd4e671dc2af3a885912c1c28af291b87f7495191e,CHATGPT_HUMAN_AUTHORED_R1
37,u01-s003-v009,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,advanced,數線上有一點與 -1 的距離為 5，且該點位於 -1 的右方。此點坐標為何？,"[""4"", ""-6"", ""5"", ""-4""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,a23dc449967a9288e4298853deb3d9424a6c053a15ceaf9a4f532bfa1cbb14d3,CHATGPT_HUMAN_AUTHORED_R1
38,u01-s003-v010,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,literacy,倉庫把中央閘門記為 0，向東的貨架編號為正、向西為負。搬運車從 -3 號位先向東移 8 格，再向西移 4 格，最後停在哪一號位？,"[""-15"", ""1"", ""5"", ""9""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,227a3a3ce614f0e8f6350dcf98351059cde9fe02a37d2b7f9b8b578db919813d,CHATGPT_HUMAN_AUTHORED_R1
39,u01-s003-v011,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,literacy,捷運施工以中央站為 0 公里，向西記負。A 標記位於 -12 公里，B 標記在 A 的東方 5 公里。B 的位置紀錄是多少？,"[""-17 公里"", ""5 公里"", ""-7 公里"", ""17 公里""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,27edc30420aa586cc638d6514c1cc1fca106bf921c39312b53147109c54b5a0c,CHATGPT_HUMAN_AUTHORED_R1
40,u01-s003-v012,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,mc,literacy,桌遊計分軸上，棋子原在 4 分位置。第一回合向左移 9 格，第二回合向右移 2 格，每格 1 分。最後位置為何？,"[""15"", ""-7"", ""7"", ""-3""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,3b1607641c602d0d417bc81d4faa48e484ee58e97603543ba972fc3b49991cd7,CHATGPT_HUMAN_AUTHORED_R1
41,u01-s003-cr001,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,cr,standard,在一條每格代表 2 的數線上，已知點 A 的坐標為 -6。請描述如何標出 A，並求從 A 向右移 5 格後的點 B 坐標。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,0a3c2fca98cf17aeb5efb562da5d8152408e2a56b13bada240bccb23a09e8014,CHATGPT_HUMAN_AUTHORED_R1
42,u01-s003-cr002,u01,s003,integer-number-line-position,數線位置：從原點與方向和刻度讀出坐標,cr,advanced,數線上 P=-5、Q=7。點 R 是 PQ 的中點，點 S 又在 R 左側 4 單位。求 R、S 坐標，並用位置關係檢查答案。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,a16d8caa2ffcf33a2f1563be39bc5f84407dbb34c51b7c193dc39f568245a0fb,CHATGPT_HUMAN_AUTHORED_R1
43,u01-s004-v001,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,basic,下列哪一個關係正確？,"[""-2<3"", ""-2>3"", ""3<0"", ""0<-2""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,8d68a26d0f6e93c399d444d1997ac011f65b54a35f3dd99306b853cc2de1f2ed,CHATGPT_HUMAN_AUTHORED_R1
44,u01-s004-v002,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,basic,-8、-3、-11、-5 中，最大的數是哪一個？,"[""-8"", ""-3"", ""-11"", ""-5""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,21d0ad56472de033335eb71dd5b03acfb586bfb993559595a89b5dc0f66087e9,CHATGPT_HUMAN_AUTHORED_R1
45,u01-s004-v003,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,basic,將 -7、0、-1 由小到大排列，何者正確？,"[""0<-1<-7"", ""-1<-7<0"", ""-7<-1<0"", ""-7<0<-1""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,ca42bea40bccaed80490771f386dc60d509dd6e961f58fa4d9d5a7ebc2c30115,CHATGPT_HUMAN_AUTHORED_R1
46,u01-s004-v004,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,standard,將 4、-6、0、-2 由小到大排列，何者正確？,"[""4<0<-2<-6"", ""-2<-6<0<4"", ""-6<0<-2<4"", ""-6<-2<0<4""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,49dc04d07d229594af911fb85f6ab93231758c8507ae75073be06518782cea5c,CHATGPT_HUMAN_AUTHORED_R1
47,u01-s004-v005,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,standard,依圖判斷 A、B 的大小關係。,"[""B>A"", ""A>B"", ""A=B"", ""無法比較""]",0,fig-u01-s004-v005,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,c946f8f1cf5192252dfa230fc131de34c2b0f8c8b58090d2c5ba05a9e08074c0,CHATGPT_HUMAN_AUTHORED_R1
48,u01-s004-v006,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,standard,下列哪一個不等式正確？,"[""-9<-12"", ""-12<-9"", ""-4>2"", ""0<-1""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,ea82035fa5d5cac28e8430eadbb1dea57a5c2372053aea08d6e8b968c3a5c940,CHATGPT_HUMAN_AUTHORED_R1
49,u01-s004-v007,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,advanced,已知 a<0 且 b>0，下列何者一定成立？,"[""a>b"", ""a=b"", ""b>a"", ""|a|<b""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,07cfbef777029f40f850f065f05480f10c4e82e538198f2b44ca66e60e9e17f9,CHATGPT_HUMAN_AUTHORED_R1
50,u01-s004-v008,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,advanced,在 -5、-2、-4、-3 四個數中，第二大的數是哪一個？,"[""-5"", ""-2"", ""-4"", ""-3""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,c02fc92caa7b16f11a9c599fa3b55c3e608322be9988689941c23e6180a777fe,CHATGPT_HUMAN_AUTHORED_R1
51,u01-s004-v009,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,advanced,比較 -2026 與 -2025，下列何者正確？,"[""-2026<-2025"", ""-2026>-2025"", ""兩數相等"", ""無法比較""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,0d426536aeced2221667ff5d51d3ebb16a06657b72224c8b4d00d9e8dfee9c9a,CHATGPT_HUMAN_AUTHORED_R1
52,u01-s004-v010,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,literacy,四個測站的最低溫依序為甲 -4°C、乙 -9°C、丙 2°C、丁 0°C。哪個測站的最低溫最高？,"[""甲"", ""丙"", ""乙"", ""丁""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,0c3e2fb8f71dbb8a4fd80e56f640c298ad462e78080b261e90a12a4e28318d29,CHATGPT_HUMAN_AUTHORED_R1
53,u01-s004-v011,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,literacy,"三個帳戶餘額為甲 -1,200 元、乙 -800 元、丙 300 元。下列敘述何者正確？","[""甲餘額最大"", ""乙比丙多 1,100 元"", ""丙餘額最大，甲餘額最小"", ""甲與乙都比丙大""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,348fe8cf6644f38ad4b2b0533e7609ca6f4b17045cfdb6d74c57b08b96523be4,CHATGPT_HUMAN_AUTHORED_R1
54,u01-s004-v012,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,mc,literacy,地形測量得到河床 -25 公尺、隧道 -18 公尺、地下月台 -3 公尺、山丘 12 公尺。由低到高排列何者正確？,"[""山丘、月台、隧道、河床"", ""河床、月台、隧道、山丘"", ""隧道、河床、月台、山丘"", ""河床、隧道、月台、山丘""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,bd2ac65f659221cec6b18eef395e2fb69d4097d7d9162bacb06cd817fabf4d43,CHATGPT_HUMAN_AUTHORED_R1
55,u01-s004-cr001,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,cr,standard,將 -12、5、0、-3、-9 由小到大排列，並用一句話說明兩個負數比較的規則。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,ed1ebcd3f275ff55ddfc528ee1dd4dfe215758ed22fa33e8e69f2bab5ce639f9,CHATGPT_HUMAN_AUTHORED_R1
56,u01-s004-cr002,u01,s004,integer-number-comparison,數的大小比較：用數線和符號建立正確順序,cr,advanced,已知整數 x 滿足 -6<x<-1。請列出所有可能的 x，指出其中最大值與最小值，並說明為什麼端點 -6、-1 不包含。,[],,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,455b2737cda8dff14c7ef9f66e2c506dfa6701ee645a55542e30015bc3472293,CHATGPT_HUMAN_AUTHORED_R1
57,u01-s005-v001,u01,s005,integer-opposite-number,相反數：關於原點對稱且和為 0,mc,basic,7 的相反數是多少？,"[""-7"", ""7"", ""1/7"", ""0""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,ANY_RENDERER_DEFECT,0,1,3099dbfd84fb6b0f49d6324a6e84fa286773b80a1a9fdb270247eb4d7c382b16,CHATGPT_HUMAN_AUTHORED_R1
