subject,query_or_route,searched_at,result_url,publisher,authority_level,included_or_rejected,reason,source_hash,notes
biology,PUB-NANI-BIOLOGY-HEART-20260714,2026-07-14,https://mag.nani.com.tw/s3/naniJournal/84ce062c-c1a1-4eb4-bbe8-1d653367035e.pdf,南一書局企業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-download,6ee2dc956dd9a4e10364b5fc457f6c72818345c473a194f8d2afe7d089c16e93,"complete-public-pdf-semantic-review; The ten-page file was read in full; only abstract teaching observations are retained, with no worksheet, answer, diagram or prose copied."
english,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
chinese,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
geography,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
history,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
civics,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
biology,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
physics_chemistry,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
earth_science,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
math,PUB-KNSH-PLAN-20260714,2026-07-14,https://www.knsh.com.tw/service/plan,康軒文教事業股份有限公司,secondary-reference-only,included-metadata-only,public-index,b848634ed60c224d4e67cab78af9a37202ff131417a19c1604edcb02ea4ccd5c,complete-public-page-semantic-review; The page advertises current junior-high subject plans for free download; publisher order remains non-authoritative and no linked plan prose was copied.
english,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
chinese,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
geography,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
history,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
civics,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
biology,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
physics_chemistry,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
earth_science,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
math,PUB-KNSH-ERRATA-20260714,2026-07-14,https://www.knsh.com.tw/service/errata,康軒文教事業股份有限公司,secondary-reference-only,included-correction-index,public-interactive-index,190126eee820779a39bba95dcd8e408b4da534fcf5eca1553bd6640692a8aac1,"complete-current-junior-high-query-space-review; All current junior-high query combinations were enumerated; only affected locations are retained below, not original or corrected commercial wording."
english,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
chinese,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
geography,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
history,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
civics,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
biology,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
physics_chemistry,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
earth_science,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
math,PUB-KNSH-REVIEW-COPYRIGHT-20260714,2026-07-14,https://exam.knsh.com.tw/pro/spicy/,康軒文教事業股份有限公司,secondary-reference-only,excluded-protected-content,public-description-restricted-resources,ebf271b3f69acccde3119149e9436d90786c8e85764f98b7981c3ef920878f06,"complete-public-page-and-copyright-boundary-review; The page explicitly limits use of review resources; no protected book, video, question or answer content was acquired."
english,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
chinese,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
geography,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
history,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
civics,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
biology,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
physics_chemistry,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
earth_science,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
math,PUB-HANLIN-DIGITAL-20260714,2026-07-14,https://hanlindigi.hle.com.tw/depot/2/9,翰林出版事業股份有限公司,secondary-reference-only,included-high-level-observation-only,public-product-descriptions,b9674b9e508de8d89b3f1b344e8ed9329a54beaf42bf4f56c05fe218864c74dc,"complete-public-page-semantic-review; Public descriptions identify representation categories such as climate graphs, layered maps and topic resources; downstream files were not copied."
english,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
chinese,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
geography,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
history,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
civics,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
biology,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
physics_chemistry,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
earth_science,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
math,PUB-HANLIN-JUNIOR-20260714,2026-07-14,https://hanlindigi.hle.com.tw/widget/2/192,翰林出版事業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-resources,419eeaaea81674b5fb5b3b629943c5f289c5fabcaa32ee7fed6423133c1be58d,"complete-public-page-semantic-review; The page confirms subject and resource categories; electronic books, rapid tests and related files were not accessed or reproduced."
english,PUB-JOY-HOME-20260714,2026-07-14,https://joy.com.tw/,佳音事業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,c063d305d5423431b7129433a71a7631efd098b0f7088327208c99c0c2d0f7e0,complete-public-page-semantic-review; The page exposes resource categories and downloads but is not CAP scope authority; no course text or audio was copied.
english,PUB-JOY-COOLENGLISH-20260714,2026-07-14,https://www.coolenglish.edu.tw/course/index.php?categoryid=49,佳音事業股份有限公司,secondary-reference-only,included-volume-topology-only,public-government-platform-index,d1c2337b061ea9d764f8def8cd65587dac3dfb72f7b78d1c9e613b69b9f2e6bc,complete-public-index-semantic-review; The public index lists Books 1–6; lesson content remains a secondary learning resource and was not copied into R4.
geography,PUB-NANYI-HOME-20260714,2026-07-14,https://www.nanyi.com.tw/,南億興業股份有限公司,secondary-reference-only,excluded-no-usable-resource,unavailable-suspended-site,1c3cc450feafd1ffe8436ad2394bd41b54f15a1fc05ff40c853834cadd06da12,access-boundary-review; The route resolves to a suspended-site page; the NAER approved catalog remains the only first-party-identifying evidence acquired.
history,PUB-NANYI-HOME-20260714,2026-07-14,https://www.nanyi.com.tw/,南億興業股份有限公司,secondary-reference-only,excluded-no-usable-resource,unavailable-suspended-site,1c3cc450feafd1ffe8436ad2394bd41b54f15a1fc05ff40c853834cadd06da12,access-boundary-review; The route resolves to a suspended-site page; the NAER approved catalog remains the only first-party-identifying evidence acquired.
civics,PUB-NANYI-HOME-20260714,2026-07-14,https://www.nanyi.com.tw/,南億興業股份有限公司,secondary-reference-only,excluded-no-usable-resource,unavailable-suspended-site,1c3cc450feafd1ffe8436ad2394bd41b54f15a1fc05ff40c853834cadd06da12,access-boundary-review; The route resolves to a suspended-site page; the NAER approved catalog remains the only first-party-identifying evidence acquired.
