authority_id,source_id,subject,official_code,raw_text,normalized_requirement,status,mapped_skill_ids,mapped_lecture_ids,mapped_question_ids,final_audit_record_id,notes
AUTH-CHINESE-LP-6-4-4,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-4,依據需求書寫各類文本。,依據需求書寫各類文本。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-6-4-5,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-5,主動創作、自訂題目、闡述見解，並發表自己的作品。,主動創作、自訂題目、闡述見解，並發表自己的作品。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-6-4-6,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-6,運用資訊科技編輯作品，發表個人見解、分享寫作樂趣。,運用資訊科技編輯作品，發表個人見解、分享寫作樂趣。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AA-4-1,NAER-CURRICULUM-ENGLISH,english,Aa-Ⅳ-1,連續體大小寫字母的辨識及書寫。,連續體大小寫字母的辨識及書寫。,scope-reviewed-required-unmapped,,,,,assessmentRole=embedded-in-english-reading-listening;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AB-4-1,NAER-CURRICULUM-ENGLISH,english,Ab-Ⅳ-1,句子的發音、重音及語調。,句子的發音、重音及語調。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-english-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AB-4-2,NAER-CURRICULUM-ENGLISH,english,Ab-Ⅳ-2,歌謠、韻文的節奏與音韻。,歌謠、韻文的節奏與音韻。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-english-listening-choice;marker=*◎;appendix=none;limits=none
AUTH-ENGLISH-LC-AB-4-3,NAER-CURRICULUM-ENGLISH,english,Ab-Ⅳ-3,字母拼讀規則（含字母拼讀的精熟能力、字彙拼寫的輔助）。,字母拼讀規則（含字母拼讀的精熟能力、字彙拼寫的輔助）。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-english-listening-choice;marker=*;appendix=none;limits=none
AUTH-ENGLISH-LC-AC-4-1,NAER-CURRICULUM-ENGLISH,english,Ac-Ⅳ-1,簡易的英文標示。,簡易的英文標示。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AC-4-2,NAER-CURRICULUM-ENGLISH,english,Ac-Ⅳ-2,常見的教室用語。,常見的教室用語。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AC-4-3,NAER-CURRICULUM-ENGLISH,english,Ac-Ⅳ-3,常見的生活用語。,常見的生活用語。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AC-4-4,NAER-CURRICULUM-ENGLISH,english,Ac-Ⅳ-4,"國中階段所學字詞（能聽、讀、說、寫最基本的1,200字詞）。","國中階段所學字詞（能聽、讀、說、寫最基本的1,200字詞）。",scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AD-4-1,NAER-CURRICULUM-ENGLISH,english,Ad-Ⅳ-1,國中階段所學的文法句型。,國中階段所學的文法句型。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-1,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-1,簡易歌謠、韻文、短文、故事及短劇。,簡易歌謠、韻文、短文、故事及短劇。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=◎;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-2,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-2,常見的圖表。,常見的圖表。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=◎;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-3,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-3,公共場所廣播（如捷運、車站、機場廣播）。,公共場所廣播（如捷運、車站、機場廣播）。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=*◎;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-4,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-4,簡易賀卡、書信、電子郵件。,簡易賀卡、書信、電子郵件。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-5,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-5,不同體裁、不同主題之簡易文章。,不同體裁、不同主題之簡易文章。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=*;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-6,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-6,簡易故事的背景、人物、事件和結局。,簡易故事的背景、人物、事件和結局。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-7,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-7,敘述者的觀點、態度、及寫作目的。,敘述者的觀點、態度、及寫作目的。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=*◎;appendix=none;limits=none
AUTH-ENGLISH-LC-AE-4-8,NAER-CURRICULUM-ENGLISH,english,Ae-Ⅳ-8,簡易故事及短文的大意。,簡易故事及短文的大意。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=*;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-1,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-1,自己、家人及朋友的簡易描述。,自己、家人及朋友的簡易描述。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-2,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-2,國中階段所學字詞及句型的生活溝通。,國中階段所學字詞及句型的生活溝通。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-3,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-3,語言與非語言的溝通策略（如請求重述、手勢、表情等）。,語言與非語言的溝通策略（如請求重述、手勢、表情等）。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-4,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-4,個人的需求、意願和感受的表達。,個人的需求、意願和感受的表達。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-5,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-5,人、事、時、地、物的描述及問答。,人、事、時、地、物的描述及問答。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-6,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-6,圖片描述。,圖片描述。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=◎;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-7,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-7,角色扮演。,角色扮演。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-B-4-8,NAER-CURRICULUM-ENGLISH,english,B-Ⅳ-8,引導式討論。,引導式討論。,scope-reviewed-required-unmapped,,,,,assessmentRole=english-reading-and-listening-choice;marker=*◎;appendix=none;limits=none
AUTH-ENGLISH-LC-C-4-1,NAER-CURRICULUM-ENGLISH,english,C-Ⅳ-1,國內外節慶習俗。,國內外節慶習俗。,scope-reviewed-required-unmapped,,,,,assessmentRole=embedded-in-english-reading-listening;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-C-4-2,NAER-CURRICULUM-ENGLISH,english,C-Ⅳ-2,國內外風土民情。,國內外風土民情。,scope-reviewed-required-unmapped,,,,,assessmentRole=embedded-in-english-reading-listening;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-C-4-3,NAER-CURRICULUM-ENGLISH,english,C-Ⅳ-3,文化習俗的了解及尊重。,文化習俗的了解及尊重。,scope-reviewed-required-unmapped,,,,,assessmentRole=embedded-in-english-reading-listening;marker=none;appendix=none;limits=none
AUTH-ENGLISH-LC-C-4-4,NAER-CURRICULUM-ENGLISH,english,C-Ⅳ-4,基本的世界觀。,基本的世界觀。,scope-reviewed-required-unmapped,,,,,assessmentRole=embedded-in-english-reading-listening;marker=none;appendix=none;limits=none
