subject,grade,semester,publisher,resource_title,edition_or_date,approval_or_catalog_evidence,url_or_path,source_hash,access_level,copyright_status,curriculum_codes,teaching_sequence,terminology,representations,examples_or_activities,misconceptions,production_adoption,final_audit_status,notes
chinese,8,2,康軒文教事業股份有限公司,115學年度國民中學國文第4冊課本、習作,三版 / 1111400702 / 1141401787,NAER清冊第11列；國審字第109052,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,8,2,翰林出版事業股份有限公司,115學年度國民中學國文第4冊課本、習作,三版 / 1111401021 / 1141402158,NAER清冊第12列；國審字第109069,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,1,南一書局企業股份有限公司,115學年度國民中學國文第5冊課本、習作,三版 / 1121401109 / 1151400743,NAER清冊第13列；國審字第110042,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,1,康軒文教事業股份有限公司,115學年度國民中學國文第5冊課本、習作,三版 / 1121401188 / 1151400822,NAER清冊第14列；國審字第110016,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,1,翰林出版事業股份有限公司,115學年度國民中學國文第5冊課本、習作,三版 / 1121400731 / 1151400931,NAER清冊第15列；國審字第110039,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,2,南一書局企業股份有限公司,115學年度國民中學國文第6冊課本、習作,再版 / 1121402107,NAER清冊第16列；國審字第110081,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,2,康軒文教事業股份有限公司,115學年度國民中學國文第6冊課本、習作,再版 / 1121402337,NAER清冊第17列；國審字第110073,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,9,2,翰林出版事業股份有限公司,115學年度國民中學國文第6冊課本、習作,再版 / 1121402374,NAER清冊第18列；國審字第110090,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,1,佳音事業股份有限公司,115學年度國民中學英語第1冊課本、習作,三版 / 1101400476 / 1131401160,NAER清冊第19列；國審字第108011,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,1,南一書局企業股份有限公司,115學年度國民中學英語第1冊課本、習作,三版 / 1101400664 / 1131401297,NAER清冊第20列；國審字第108008,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,1,康軒文教事業股份有限公司,115學年度國民中學英語第1冊課本、習作,三版 / 1101400507 / 1131401163,NAER清冊第21列；國審字第108010,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,2,佳音事業股份有限公司,115學年度國民中學英語第2冊課本、習作,三版 / 1101401723 / 1131403036,NAER清冊第22列；國審字第108048,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,2,南一書局企業股份有限公司,115學年度國民中學英語第2冊課本、習作,三版 / 1101401484 / 1131403006,NAER清冊第23列；國審字第108077,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,7,2,康軒文教事業股份有限公司,115學年度國民中學英語第2冊課本、習作,三版 / 1101401644 / 1131403129,NAER清冊第24列；國審字第108055,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,1,佳音事業股份有限公司,115學年度國民中學英語第3冊課本、習作,三版 / 1111400249 / 1141400561,NAER清冊第25列；國審字第109001,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,1,南一書局企業股份有限公司,115學年度國民中學英語第3冊課本、習作,三版 / 1111400179 / 1141400837,NAER清冊第26列；國審字第109007,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,1,康軒文教事業股份有限公司,115學年度國民中學英語第3冊課本、習作,三版 / 1111400234 / 1141400562,NAER清冊第27列；國審字第109004,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,2,佳音事業股份有限公司,115學年度國民中學英語第4冊課本、習作,三版 / 1111400884 / 1141401746,NAER清冊第28列；國審字第109054,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,2,南一書局企業股份有限公司,115學年度國民中學英語第4冊課本、習作,三版 / 1111400955 / 1141401946,NAER清冊第29列；國審字第109071,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,8,2,康軒文教事業股份有限公司,"115學年度國民中學英語第4冊課本、習作第11頁,共18頁",三版 / 1111400857 / 1141402017,NAER清冊第30列；國審字第109076,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
english,9,1,佳音事業股份有限公司,115學年度國民中學英語第5冊課本、習作,三版 / 1121400846 / 1151400812,NAER清冊第31列；國審字第110044,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
